year,quarter,province,origin,total_spend,quarterly_arrivals,spend_per_arrival,period,covid_period,low_reliability
2018,1,Manitoba,Australia,3747000.0,252.0,14869.047619047618,2018-Q1,False,False
2018,4,Manitoba,United Kingdom,7803000.0,1776.0,4393.581081081081,2018-Q4,False,False
2018,4,Alberta,China,97197000.0,16824.0,5777.28245363766,2018-Q4,False,False
2019,1,New Brunswick,United States,33033000.0,688704.0,47.9640019514915,2019-Q1,False,False
2019,1,Manitoba,France,5124000.0,558.0,9182.79569892473,2019-Q1,False,False
2019,3,Nova Scotia,United States,544887000.0,441438.0,1234.3454799994563,2019-Q3,False,False
2019,3,British Columbia,United Kingdom,665979000.0,650112.0,1024.406563792085,2019-Q3,False,False
2021,3,Saskatchewan,United States,37128000.0,57918.0,641.0442349528644,2021-Q3,True,False
2018,4,Yukon,India,1782000.0,76.0,23447.36842105263,2018-Q4,False,True
2019,1,Ontario,Japan,63264000.0,70350.0,899.2750533049041,2019-Q1,False,False
2019,2,New Brunswick,Australia,5733000.0,1128.0,5082.446808510638,2019-Q2,False,False
2019,3,Alberta,Japan,90978000.0,49800.0,1826.867469879518,2019-Q3,False,False
2019,3,Nunavut,United States,5190000.0,6020.0,862.126245847176,2019-Q3,False,True
2019,4,Nova Scotia,United States,151935000.0,243372.0,624.29120852029,2019-Q4,False,False
2020,2,Quebec,United States,22515000.0,88590.0,254.14832373857095,2020-Q2,True,False
2020,3,New Brunswick,United States,15822000.0,75102.0,210.67348406167613,2020-Q3,True,False
2018,1,British Columbia,Mexico,96699000.0,174132.0,555.3201019915925,2018-Q1,False,False
2018,3,New Brunswick,United States,314232000.0,2158020.0,145.61125476130897,2018-Q3,False,False
2019,2,Ontario,Germany,149772000.0,254802.0,587.7975840064049,2019-Q2,False,False
2019,3,Ontario,India,177045000.0,367488.0,481.7708333333333,2019-Q3,False,False
2019,3,Nunavut,Japan,2565000.0,27.0,95000.0,2019-Q3,False,True
2022,4,Nova Scotia,United States,150087000.0,173928.0,862.926038360701,2022-Q4,True,False
2018,2,Saskatchewan,United States,80430000.0,191106.0,420.8659068789049,2018-Q2,False,False
2018,4,Newfoundland and Labrador,China,3255000.0,72.0,45208.333333333336,2018-Q4,False,False
2018,4,Ontario,Japan,61899000.0,108534.0,570.3189783846536,2018-Q4,False,False
2019,1,Yukon,France,3912000.0,384.0,10187.5,2019-Q1,False,True
2019,2,New Brunswick,India,4470000.0,462.0,9675.324675324675,2019-Q2,False,False
2019,2,Yukon,Mexico,5028000.0,2700.0,1862.2222222222222,2019-Q2,False,True
2023,4,Quebec,United States,1341836976.0,3467070.0,387.02332978566915,2023-Q4,False,False
2018,1,Nova Scotia,Mexico,3453000.0,426.0,8105.633802816901,2018-Q1,False,False
2018,1,Alberta,Mexico,19893000.0,23562.0,844.2831678125796,2018-Q1,False,False
2019,1,Nova Scotia,Germany,5418000.0,1374.0,3943.231441048035,2019-Q1,False,False
2019,2,Ontario,United States,3610629000.0,21266088.0,169.78341291543606,2019-Q2,False,False
2019,3,Alberta,France,65457000.0,25452.0,2571.7821782178216,2019-Q3,False,False
2020,1,Manitoba,United Kingdom,4569000.0,1182.0,3865.4822335025383,2020-Q1,True,False
2020,1,Alberta,Australia,31551000.0,15648.0,2016.2960122699387,2020-Q1,True,False
2020,1,British Columbia,United States,968130000.0,4806102.0,201.43767235901362,2020-Q1,True,False
2019,2,Saskatchewan,China,15465000.0,234.0,66089.7435897436,2019-Q2,False,False
2020,4,Ontario,United States,163818000.0,1124598.0,145.6680520505994,2020-Q4,True,False
2021,3,Manitoba,United States,28830000.0,149994.0,192.2076883075323,2021-Q3,True,False
2021,4,British Columbia,United States,545217000.0,2222154.0,245.3551824040998,2021-Q4,True,False
2018,1,British Columbia,Germany,79269000.0,63600.0,1246.367924528302,2018-Q1,False,False
2018,1,Nunavut,United Kingdom,1683000.0,66.0,25500.0,2018-Q1,False,True
2018,2,Newfoundland and Labrador,Germany,9918000.0,12648.0,784.1555977229601,2018-Q2,False,False
2018,4,Quebec,China,112518000.0,78588.0,1431.7453046266605,2018-Q4,False,False
2019,2,Ontario,United Kingdom,416304000.0,726462.0,573.0568150846156,2019-Q2,False,False
2019,3,British Columbia,Japan,254454000.0,334110.0,761.5875011223849,2019-Q3,False,False
2019,4,Prince Edward Island,United States,77475000.0,318.0,243632.0754716981,2019-Q4,False,True
2020,3,Ontario,United States,166191000.0,1119744.0,148.4187457133059,2020-Q3,True,False
2022,2,Prince Edward Island,United States,45696000.0,1842.0,24807.81758957655,2022-Q2,True,True
2023,1,Prince Edward Island,United States,15045000.0,30.0,501500.0,2023-Q1,False,True
2018,4,Yukon,United States,24123000.0,76932.0,313.5626267352987,2018-Q4,False,True
2019,4,Newfoundland and Labrador,Germany,4146000.0,9378.0,442.09852847088933,2019-Q4,False,False
2019,4,Quebec,Australia,39717000.0,25290.0,1570.4626334519573,2019-Q4,False,False
